epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.44765,3.35532,3.21612,2.69121,0.01833,0.26829,0.01351,0.00304,3.60866,3.24779,3.36855,0.09703,3e-05,3e-05
2,3.93503,3.30843,3.17876,2.70524,0.01667,0.2439,0.01767,0.00472,3.6785,3.13607,3.18069,0.0930698,6.98075e-05,6.98075e-05
3,4.48403,2.82103,3.00051,2.19599,0.01167,0.17073,0.00981,0.00269,3.705,3.82445,3.9054,0.0891094,0.000109395,0.000109395
4,5.01663,2.23494,2.34251,1.78947,0.01833,0.26829,0.01667,0.00672,3.61171,3.40218,3.52492,0.0851488,0.000148762,0.000148762
5,5.53181,2.10901,2.0256,1.70928,0.02333,0.34146,0.02612,0.00866,3.34275,3.154,3.10799,0.0811879,0.00018791,0.00018791
6,6.04422,1.91055,1.85104,1.63566,0.03667,0.53659,0.07136,0.02311,2.90431,2.80555,2.69973,0.0772268,0.000226838,0.000226838
7,6.56106,1.99348,1.78881,1.5894,0.04667,0.68293,0.19309,0.06267,2.5962,2.70026,2.51724,0.0732655,0.000265545,0.000265545
8,7.07685,1.8408,1.65193,1.5705,0.05,0.73171,0.25544,0.08338,2.47845,2.72438,2.44089,0.069304,0.000304033,0.000304033
9,7.589,1.99139,1.68971,1.58146,0.04833,0.70732,0.14443,0.05715,2.51733,2.80987,2.52102,0.0653423,0.0003423,0.0003423
10,8.27351,1.78868,1.62531,1.51641,0.055,0.80488,0.2484,0.09489,2.30897,2.58259,2.25483,0.0613803,0.000380348,0.000380348
11,8.79381,1.8269,1.51997,1.5469,0.06167,0.90244,0.4198,0.16903,2.19377,2.23634,2.04827,0.0574182,0.000418175,0.000418175
12,9.31273,1.79807,1.43626,1.48937,0.24364,0.7561,0.52711,0.19822,2.28126,2.14354,2.06849,0.0534558,0.000455783,0.000455783
13,9.823,1.80034,1.37518,1.47453,0.72532,0.31707,0.5057,0.1852,2.33824,2.0905,2.05672,0.0494932,0.00049317,0.00049317
14,10.2933,1.77762,1.36142,1.47397,0.72368,0.34146,0.50363,0.19757,2.3551,2.0453,2.06437,0.0455303,0.000530338,0.000530338
15,10.7899,1.7024,1.3848,1.41236,0.6516,0.50198,0.61294,0.24855,2.19991,1.83849,1.98353,0.0415673,0.000567285,0.000567285
16,11.2962,1.71079,1.29817,1.41691,0.60597,0.4878,0.55862,0.24575,2.1488,1.79773,1.93372,0.037604,0.000604012,0.000604012
17,11.7901,1.78816,1.33201,1.43589,0.6352,0.46341,0.52014,0.23608,2.11626,1.85328,1.8832,0.0336405,0.00064052,0.00064052
18,12.2685,1.71733,1.30414,1.44923,0.64428,0.56098,0.56829,0.2515,2.03939,1.7675,1.78407,0.0296768,0.000676808,0.000676808
19,12.7465,1.74663,1.28253,1.43257,0.70393,0.63415,0.62337,0.27626,1.96071,1.69872,1.71052,0.0257129,0.000712875,0.000712875
20,13.2461,1.70486,1.26695,1.44249,0.64164,0.63415,0.59712,0.24695,1.98972,1.71001,1.72669,0.0217487,0.000748723,0.000748723
21,13.7634,1.60873,1.28193,1.38084,0.74741,0.73171,0.67551,0.2551,2.09811,1.70537,1.86026,0.0177844,0.00078435,0.00078435
22,14.2601,1.70357,1.27198,1.41562,0.67748,0.60976,0.67931,0.26554,2.16906,1.70491,1.89264,0.0138198,0.000819758,0.000819758
23,14.7519,1.73145,1.27891,1.41175,0.64208,0.70732,0.62558,0.25681,2.10839,1.72345,1.86492,0.00985495,0.000854945,0.000854945
24,15.2167,1.64928,1.21911,1.40341,0.54662,0.68293,0.55409,0.20497,2.20204,1.73651,1.91521,0.00588991,0.000889912,0.000889912
25,15.7104,1.76355,1.33006,1.44417,0.5481,0.68044,0.53646,0.17853,2.35799,1.74262,1.96446,0.00192466,0.00092466,0.00092466
26,16.1912,1.74112,1.27686,1.47113,0.5769,0.65854,0.57445,0.16035,2.49565,1.76369,2.10666,0.00093125,0.00093125,0.00093125
27,16.689,1.64952,1.21349,1.40186,0.60193,0.70083,0.57812,0.16727,2.5034,1.72575,2.11955,0.0009285,0.0009285,0.0009285
28,17.1708,1.62365,1.15383,1.35382,0.53009,0.60976,0.54005,0.18573,2.3955,1.74482,2.02678,0.00092575,0.00092575,0.00092575
29,17.6619,1.75056,1.24133,1.42792,0.61296,0.63415,0.61192,0.19363,2.38912,1.78857,1.96103,0.000923,0.000923,0.000923
30,18.1591,1.64064,1.17792,1.37996,0.63754,0.56098,0.57513,0.17464,2.31973,1.9514,1.92327,0.00092025,0.00092025,0.00092025
31,18.8528,1.60908,1.14747,1.38009,0.53641,0.45172,0.47067,0.15169,2.3555,2.04782,2.01027,0.0009175,0.0009175,0.0009175
32,19.3425,1.74507,1.22286,1.48053,0.65237,0.46341,0.49794,0.14648,2.371,1.98969,2.01051,0.00091475,0.00091475,0.00091475
33,19.8294,1.74814,1.2592,1.49213,0.60399,0.53659,0.51564,0.14046,2.44473,2.03763,2.06905,0.000912,0.000912,0.000912
