epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.4084,3.35532,3.21612,2.69121,0.01833,0.26829,0.01351,0.00304,3.60866,3.24779,3.36855,0.09703,3e-05,3e-05
2,3.89476,3.30843,3.17876,2.70524,0.01667,0.2439,0.0177,0.00477,3.67445,3.13966,3.18718,0.0930699,6.98614e-05,6.98614e-05
3,4.45203,2.82339,3.00063,2.19633,0.01333,0.19512,0.01409,0.00257,3.63432,3.71862,3.71487,0.0891096,0.000109564,0.000109564
4,4.95744,2.24041,2.34236,1.78233,0.02833,0.41463,0.03999,0.01189,2.98796,2.95648,2.66871,0.0851491,0.000149109,0.000149109
5,5.46804,2.11606,2.01215,1.68434,0.04333,0.63415,0.13992,0.03416,2.79791,2.89888,2.5401,0.0811885,0.000188495,0.000188495
6,5.98984,1.89787,1.86426,1.61638,0.05167,0.7561,0.14474,0.04688,2.60686,2.67749,2.35192,0.0772277,0.000227723,0.000227723
7,6.50728,1.97233,1.78323,1.57907,0.05167,0.7561,0.2391,0.08218,2.54593,2.57114,2.26934,0.0732668,0.000266792,0.000266792
8,7.01537,1.83063,1.67548,1.57202,0.05333,0.78049,0.23064,0.07601,2.60668,2.61545,2.39683,0.0693057,0.000305703,0.000305703
9,7.68747,2.00883,1.71568,1.60305,0.05,0.73171,0.18148,0.03986,2.65555,2.79427,2.6547,0.0653445,0.000344456,0.000344456
10,8.19321,1.79359,1.61643,1.51326,0.055,0.80488,0.34648,0.10937,2.33087,2.57636,2.20191,0.0613831,0.00038305,0.00038305
11,8.72475,1.84697,1.54426,1.54629,0.11989,0.85366,0.62624,0.2499,2.06716,2.23366,1.92774,0.0574215,0.000421486,0.000421486
12,9.23273,1.811,1.45199,1.51255,0.80469,0.46341,0.67118,0.22426,2.28777,2.11995,2.05002,0.0534598,0.000459763,0.000459763
13,9.73385,1.79291,1.38001,1.48114,0.77643,0.50836,0.67773,0.15959,2.56356,2.07778,2.26014,0.0494979,0.000497882,0.000497882
14,10.2174,1.75184,1.37255,1.47614,0.82685,0.56098,0.71142,0.18483,2.42559,1.99908,2.14026,0.0455358,0.000535843,0.000535843
15,10.7112,1.70857,1.41914,1.42417,0.62958,0.60976,0.65223,0.2349,2.25671,1.86321,2.04114,0.0415736,0.000573645,0.000573645
16,11.1867,1.7201,1.31405,1.42473,0.47199,0.63415,0.62317,0.24586,2.27266,1.81272,2.04357,0.0376113,0.000611289,0.000611289
17,11.6717,1.78676,1.37801,1.44308,0.52309,0.65854,0.63456,0.2552,2.23799,1.73888,1.9677,0.0336488,0.000648774,0.000648774
18,12.1808,1.72894,1.35354,1.4481,0.5352,0.67414,0.63017,0.27388,2.08203,1.59207,1.78641,0.0296861,0.000686101,0.000686101
19,12.6754,1.72427,1.30905,1.41068,0.5234,0.68293,0.5996,0.26247,2.11508,1.5899,1.81013,0.0257233,0.00072327,0.00072327
20,13.1561,1.71378,1.30203,1.43806,0.55414,0.60976,0.59216,0.23836,2.21296,1.68682,1.91526,0.0217603,0.00076028,0.00076028
21,13.6602,1.63036,1.28103,1.38493,0.50791,0.70732,0.52092,0.20348,2.10689,1.78745,1.83495,0.0177971,0.000797132,0.000797132
22,14.155,1.69862,1.29073,1.41494,0.45341,0.63415,0.5558,0.2296,1.96607,1.79155,1.68242,0.0138338,0.000833825,0.000833825
23,14.6421,1.71483,1.32151,1.41402,0.50676,0.65854,0.59998,0.27421,1.96203,1.76098,1.70011,0.00987036,0.00087036,0.00087036
24,15.1233,1.63801,1.2388,1.40172,0.55387,0.60976,0.60608,0.25078,1.99533,1.76604,1.79781,0.00590674,0.000906737,0.000906737
25,15.6003,1.76295,1.34163,1.46274,0.64469,0.5122,0.62141,0.23038,2.20331,1.83043,1.90744,0.00194296,0.000942955,0.000942955
26,16.0788,1.74647,1.31558,1.48657,0.50497,0.5122,0.58091,0.18916,2.34903,1.82318,2.02452,0.0009505,0.0009505,0.0009505
27,16.5617,1.62077,1.2357,1.38543,0.42344,0.70732,0.56624,0.18385,2.36981,1.79028,2.09037,0.00094852,0.00094852,0.00094852
28,17.0352,1.65573,1.20516,1.36106,0.51292,0.77062,0.62841,0.20317,2.34175,1.85017,2.06646,0.00094654,0.00094654,0.00094654
29,17.5165,1.74902,1.27585,1.40909,0.51712,0.78363,0.60164,0.18058,2.30758,2.12889,2.04897,0.00094456,0.00094456,0.00094456
30,18.1998,1.69508,1.21103,1.39559,0.49432,0.56098,0.42416,0.12183,2.35127,2.42859,2.08684,0.00094258,0.00094258,0.00094258
31,18.6985,1.63325,1.15683,1.37744,0.40017,0.56098,0.37316,0.11047,2.39284,2.158,2.13512,0.0009406,0.0009406,0.0009406
32,19.1817,1.74018,1.22301,1.46291,0.42594,0.46341,0.35858,0.11143,2.41501,2.12371,2.14804,0.00093862,0.00093862,0.00093862
33,19.6598,1.78027,1.27547,1.49931,0.48612,0.53659,0.40608,0.11754,2.4184,2.11688,2.11889,0.00093664,0.00093664,0.00093664
34,20.1432,1.71113,1.22819,1.39666,0.52548,0.58537,0.47101,0.13455,2.43081,2.05755,2.09876,0.00093466,0.00093466,0.00093466
35,20.6175,1.62227,1.18928,1.39375,0.52642,0.70732,0.48159,0.15659,2.40472,1.86199,2.03771,0.00093268,0.00093268,0.00093268
