epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,23.8034,1.25819,0.79163,1.19107,0.85381,0.87805,0.91103,0.58231,1.35869,0.94797,1.53062,0.000643101,0.000643101,0.000643101
43,24.2643,1.2185,0.79405,1.19531,0.94504,0.83887,0.92556,0.55711,1.49628,0.93517,1.59311,0.000628101,0.000628101,0.000628101
44,24.7239,1.24723,0.7684,1.17524,0.91693,0.87805,0.9307,0.54593,1.51736,0.86828,1.569,0.000612981,0.000612981,0.000612981
45,25.2048,1.16453,0.77391,1.18076,0.94753,0.88103,0.94072,0.60412,1.36053,0.81362,1.46943,0.000597754,0.000597754,0.000597754
46,25.662,1.1995,0.76041,1.15203,0.94976,0.90244,0.96026,0.60781,1.2839,0.76604,1.46945,0.000582435,0.000582435,0.000582435
47,26.1371,1.20708,0.78244,1.21279,0.97344,0.894,0.95974,0.61955,1.27022,0.77183,1.48651,0.00056704,0.00056704,0.00056704
48,26.6151,1.14913,0.70707,1.13878,0.97295,0.87721,0.95625,0.62387,1.24845,0.78494,1.4828,0.000551584,0.000551584,0.000551584
49,27.0978,1.20569,0.74422,1.22141,0.94848,0.8981,0.95603,0.64347,1.19299,0.77004,1.45086,0.000536081,0.000536081,0.000536081
50,27.5895,1.21263,0.78502,1.1364,0.95498,0.85366,0.95301,0.63375,1.20154,0.77937,1.46993,0.000520548,0.000520548,0.000520548
51,28.0457,1.20365,0.77153,1.19045,0.94635,0.92683,0.95872,0.63544,1.21662,0.7765,1.48663,0.000505,0.000505,0.000505
52,28.5017,1.16064,0.74219,1.19088,0.97301,0.87926,0.9579,0.64387,1.21267,0.77928,1.49072,0.000489452,0.000489452,0.000489452
53,28.9778,1.14017,0.7413,1.15439,0.97292,0.87622,0.94038,0.64505,1.20254,0.74798,1.4814,0.000473919,0.000473919,0.000473919
54,29.4348,1.10841,0.70537,1.12545,0.94619,0.90244,0.93906,0.64919,1.23307,0.73402,1.47346,0.000458416,0.000458416,0.000458416
55,29.9121,1.14162,0.70574,1.155,0.94837,0.89624,0.93627,0.6331,1.27886,0.74492,1.48808,0.00044296,0.00044296,0.00044296
56,30.3707,1.12675,0.68943,1.10559,0.96799,0.87805,0.93643,0.62592,1.29145,0.75332,1.49955,0.000427565,0.000427565,0.000427565
57,30.8327,1.15915,0.69253,1.1358,0.97297,0.87805,0.93618,0.63149,1.27166,0.75755,1.50265,0.000412246,0.000412246,0.000412246
58,31.2889,1.16247,0.7386,1.17135,0.94738,0.87831,0.93866,0.62502,1.24181,0.74468,1.49369,0.000397019,0.000397019,0.000397019
59,31.7439,1.15312,0.73193,1.16544,0.97275,0.87093,0.93952,0.63302,1.22013,0.73893,1.47903,0.000381899,0.000381899,0.000381899
60,32.1909,1.17801,0.71014,1.16524,0.92492,0.90141,0.93706,0.63425,1.192,0.74964,1.45932,0.000366899,0.000366899,0.000366899
