epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.46198,3.22178,3.16508,2.64378,0.01333,0.19512,0.01533,0.00532,3.54805,2.91777,2.74682,0.09307,7e-05,7e-05
2,4.17352,2.19294,2.68885,1.85848,0.02833,0.41463,0.12116,0.06002,2.66043,2.80719,2.08334,0.08515,0.000149996,0.000149996
3,4.84741,1.92036,2.08277,1.66663,0.04667,0.68293,0.16209,0.0485,2.56302,2.60975,2.13563,0.07723,0.000229975,0.000229975
4,5.50165,1.78179,1.91294,1.49348,0.16953,0.7561,0.33738,0.09586,2.27309,2.48403,2.04021,0.0693099,0.000309924,0.000309924
5,6.16946,1.67539,1.76198,1.45605,0.46394,0.34146,0.35163,0.07888,2.3648,2.6054,2.34323,0.0613898,0.000389831,0.000389831
6,6.80359,1.60446,1.74948,1.45846,0.58368,0.27377,0.3391,0.09079,2.56769,2.48036,2.51318,0.0534697,0.000469681,0.000469681
7,7.45446,1.66292,1.6714,1.54047,0.54316,0.29268,0.41934,0.11349,2.60559,2.30262,2.44681,0.0455495,0.000549463,0.000549463
8,8.10697,1.53215,1.5051,1.42745,0.54074,0.48821,0.50046,0.14091,2.63705,2.08097,2.35372,0.0376292,0.000629163,0.000629163
9,8.77874,1.62999,1.51074,1.43365,0.52436,0.72608,0.54631,0.17886,2.56502,1.7314,2.10091,0.0297088,0.000708767,0.000708767
10,9.62173,1.60081,1.42778,1.41736,0.59073,0.56098,0.5777,0.19532,2.63697,1.7309,2.08861,0.0217883,0.000788265,0.000788265
11,10.2667,1.59402,1.49317,1.47609,0.52285,0.63415,0.59923,0.19105,2.64492,1.72312,2.06004,0.0138676,0.000867641,0.000867641
12,10.8805,1.61455,1.44977,1.49119,0.4826,0.59158,0.56288,0.17718,2.67275,1.72041,2.03276,0.00594688,0.000946884,0.000946884
13,11.4914,1.40465,1.26577,1.35514,0.58577,0.73171,0.72016,0.19916,2.60062,1.71645,2.0154,0.000996097,0.000996097,0.000996097
14,12.1402,1.41733,1.27367,1.34226,0.86044,0.63415,0.77194,0.24741,2.53105,1.54315,2.06016,0.00099542,0.00099542,0.00099542
15,12.7767,1.47998,1.27067,1.35647,0.809,0.72328,0.78652,0.29668,2.40592,1.36237,1.96111,0.00099469,0.00099469,0.00099469
16,13.4182,1.51908,1.43042,1.39644,0.77092,0.65668,0.75982,0.2669,2.4305,1.4725,1.97546,0.000993906,0.000993906,0.000993906
17,14.0361,1.51258,1.26315,1.39913,0.74403,0.56098,0.64323,0.17117,2.57189,1.72859,2.14197,0.000993068,0.000993068,0.000993068
18,14.6561,1.56678,1.43529,1.42802,0.52016,0.68293,0.58879,0.15161,2.56402,1.82994,2.1161,0.000992177,0.000992177,0.000992177
19,15.2772,1.49697,1.24199,1.39236,0.61247,0.68293,0.64969,0.18232,2.51316,1.6095,2.07259,0.000991232,0.000991232,0.000991232
20,15.9179,1.49007,1.2075,1.39243,0.64752,0.65854,0.67886,0.18885,2.45902,1.63532,2.02829,0.000990234,0.000990234,0.000990234
21,16.5644,1.54008,1.20622,1.35922,0.62489,0.82927,0.66043,0.18286,2.48452,1.62938,2.03815,0.000989183,0.000989183,0.000989183
22,17.2072,1.41051,1.2128,1.33853,0.55418,0.7561,0.53244,0.1275,2.60093,1.82069,2.20039,0.000988079,0.000988079,0.000988079
23,17.858,1.58044,1.27714,1.41662,0.55623,0.68293,0.57039,0.13719,2.57426,1.78597,2.27675,0.000986922,0.000986922,0.000986922
24,18.519,1.62842,1.3849,1.42498,0.67053,0.73171,0.59142,0.16846,2.45516,1.73187,2.18552,0.000985711,0.000985711,0.000985711
25,19.1965,1.50218,1.24313,1.39491,0.76827,0.82927,0.83024,0.2863,2.2405,1.47101,1.94305,0.000984449,0.000984449,0.000984449
