epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,31.5422,1.82777,1.37907,1.42204,0.84905,0.68604,0.74496,0.31795,1.89236,1.51868,1.77166,0.00088725,0.00088725,0.00088725
43,32.195,1.73185,1.98938,1.56425,0.79475,0.75554,0.76719,0.36005,1.86351,1.4337,1.72756,0.0008845,0.0008845,0.0008845
44,32.8461,1.70728,1.23987,1.40578,0.77387,0.78049,0.80015,0.37458,1.83874,1.41865,1.71177,0.00088175,0.00088175,0.00088175
45,33.5077,1.63556,1.22539,1.42115,0.81326,0.78049,0.8354,0.38572,1.77935,1.43975,1.69961,0.000879,0.000879,0.000879
46,34.1766,1.64727,1.21324,1.42076,0.81902,0.77277,0.84194,0.399,1.7262,1.45913,1.68419,0.00087625,0.00087625,0.00087625
47,34.8408,1.87162,1.3652,1.45971,0.74609,0.7561,0.82624,0.36255,1.76773,1.50524,1.73884,0.0008735,0.0008735,0.0008735
48,35.4869,1.70058,1.22331,1.46558,0.70525,0.78049,0.81098,0.32264,1.84145,1.57168,1.78707,0.00087075,0.00087075,0.00087075
49,36.1349,1.65276,1.2105,1.39263,0.779,0.70732,0.78031,0.29876,1.86521,1.5766,1.76971,0.000868,0.000868,0.000868
50,36.7832,1.63811,1.41387,1.41531,0.63657,0.80488,0.80444,0.31283,1.86409,1.50056,1.71627,0.00086525,0.00086525,0.00086525
51,37.45,1.51961,1.11484,1.32803,0.89509,0.62451,0.8051,0.38363,1.7594,1.42506,1.65484,0.0008625,0.0008625,0.0008625
52,38.0939,1.51008,1.16666,1.33327,0.72987,0.73171,0.79986,0.40429,1.74132,1.39215,1.64949,0.00085975,0.00085975,0.00085975
53,38.76,1.61931,1.11345,1.36327,0.7705,0.7561,0.78451,0.38109,1.71527,1.35274,1.64787,0.000857,0.000857,0.000857
54,39.5708,1.61942,1.22349,1.41624,0.81459,0.73171,0.77848,0.37522,1.70741,1.31021,1.63476,0.00085425,0.00085425,0.00085425
55,40.2087,1.64435,1.14428,1.42571,0.82163,0.73171,0.77629,0.36402,1.75159,1.35178,1.66746,0.0008515,0.0008515,0.0008515
56,40.8549,1.61816,1.45838,1.41049,0.72336,0.70732,0.75175,0.32683,1.85813,1.44465,1.72195,0.00084875,0.00084875,0.00084875
57,41.5056,1.68787,1.68876,1.40844,0.66088,0.70732,0.70898,0.2637,2.02331,1.57049,1.8195,0.000846,0.000846,0.000846
58,42.1602,1.58402,1.12001,1.34199,0.58385,0.6844,0.63716,0.22099,2.10704,1.69739,1.93977,0.00084325,0.00084325,0.00084325
59,42.8124,1.52151,1.10102,1.34069,0.62619,0.70732,0.61457,0.22931,2.07479,1.72287,1.93122,0.0008405,0.0008405,0.0008405
60,43.4828,1.66164,1.20186,1.34046,0.7514,0.70732,0.66303,0.27559,1.9319,1.57836,1.78692,0.00083775,0.00083775,0.00083775
61,44.1228,1.59473,1.19093,1.37005,0.76319,0.70746,0.67567,0.30617,1.8407,1.5012,1.71312,0.000835,0.000835,0.000835
62,44.7562,1.7819,1.22264,1.39619,0.7869,0.72069,0.68902,0.34596,1.79299,1.44176,1.69523,0.00083225,0.00083225,0.00083225
63,45.3925,1.48051,1.09861,1.32903,0.77738,0.7561,0.70556,0.36548,1.76744,1.40843,1.69275,0.0008295,0.0008295,0.0008295
64,46.026,1.75377,1.37864,1.48676,0.78034,0.77985,0.7001,0.38654,1.74319,1.40546,1.68943,0.00082675,0.00082675,0.00082675
65,46.6632,1.67215,1.11579,1.32311,0.77558,0.75868,0.73076,0.38148,1.72092,1.39436,1.66892,0.000824,0.000824,0.000824
66,47.2935,1.65777,1.95692,1.50421,0.69231,0.73171,0.71396,0.3785,1.71895,1.48219,1.66784,0.00082125,0.00082125,0.00082125
67,47.9278,1.61794,1.64604,1.43619,0.59762,0.76077,0.67137,0.33188,1.75395,1.69135,1.70161,0.0008185,0.0008185,0.0008185
68,48.5636,1.52145,1.11909,1.3412,0.62794,0.69991,0.62175,0.28575,1.77733,1.8914,1.71175,0.00081575,0.00081575,0.00081575
69,49.1969,1.5114,1.18131,1.38923,0.61727,0.65854,0.63359,0.28484,1.8063,1.73556,1.72424,0.000813,0.000813,0.000813
70,49.8297,1.60718,1.25823,1.39771,0.62881,0.74384,0.676,0.3085,1.82888,1.5778,1.71234,0.00081025,0.00081025,0.00081025
71,50.5158,1.51892,1.13078,1.34554,0.71781,0.70732,0.7347,0.34144,1.84198,1.4623,1.71305,0.0008075,0.0008075,0.0008075
72,51.2289,1.48775,1.09223,1.35576,0.74552,0.7561,0.75541,0.34126,1.89408,1.37666,1.71226,0.00080475,0.00080475,0.00080475
73,51.9488,1.50892,1.15732,1.35684,0.76475,0.7561,0.7762,0.34844,1.89866,1.32965,1.71776,0.000802,0.000802,0.000802
74,52.6301,1.62662,1.22979,1.40246,0.77729,0.78049,0.80535,0.34298,1.92444,1.36755,1.73991,0.00079925,0.00079925,0.00079925
75,53.4234,1.68104,1.48407,1.44857,0.79326,0.78049,0.83801,0.33191,1.95399,1.40365,1.77315,0.0007965,0.0007965,0.0007965
76,54.0895,1.60141,1.1164,1.36229,0.76722,0.80488,0.83845,0.3371,1.9722,1.42306,1.81113,0.00079375,0.00079375,0.00079375
77,54.7487,1.48201,1.0648,1.32086,0.73848,0.82927,0.84169,0.37047,1.94083,1.40881,1.79389,0.000791,0.000791,0.000791
78,55.4126,1.591,1.11474,1.35817,0.78833,0.82927,0.85361,0.39406,1.85851,1.33789,1.73817,0.00078825,0.00078825,0.00078825
79,56.073,1.56516,1.14381,1.33072,0.84608,0.82927,0.84033,0.39889,1.79162,1.31945,1.69233,0.0007855,0.0007855,0.0007855
80,56.7408,1.55126,1.04854,1.31387,0.7879,0.81558,0.80883,0.39516,1.80463,1.32354,1.67833,0.00078275,0.00078275,0.00078275
81,57.3929,1.46032,1.08254,1.35271,0.67314,0.7561,0.68669,0.32791,1.88423,1.40858,1.72151,0.00078,0.00078,0.00078
82,58.058,1.61568,1.23879,1.43547,0.64003,0.68293,0.64057,0.26018,2.09328,1.61318,1.86628,0.00077725,0.00077725,0.00077725
83,58.723,1.5163,1.03363,1.31419,0.56252,0.60976,0.58057,0.22171,2.22836,1.78462,1.99541,0.0007745,0.0007745,0.0007745
84,59.3851,1.48948,1.18611,1.38699,0.67171,0.59901,0.60544,0.22601,2.22858,1.74691,2.00827,0.00077175,0.00077175,0.00077175
85,60.0574,1.50476,1.11679,1.33566,0.67901,0.63415,0.65756,0.26949,2.18416,1.57725,1.96035,0.000769,0.000769,0.000769
